(43, 42, 'Trần Văn An', '1975-03-17', 'Nam', 'Chồng', 'Giáo viên', 'Số 5 Trần Khát Chân, quận Hai Bà Trưng, Hà Nội'),
(44, 42, 'Lê Thị Bình', '1980-11-24', 'Nữ', 'Vợ', 'Bác sĩ', 'Số 5 Trần Khát Chân, quận Hai Bà Trưng, Hà Nội'),
(45, 42, 'Trần Minh Tuấn', '2007-07-02', 'Nam', 'Con trai', 'Học sinh', 'Số 5 Trần Khát Chân, quận Hai Bà Trưng, Hà Nội'),
(46, 43, 'Nguyễn Thị Thanh', '1982-09-14', 'Nữ', 'Vợ', 'Kế toán', 'Số 7 Lê Ngọc Hân, quận Hai Bà Trưng, Hà Nội'),
(47, 43, 'Nguyễn Đức Hùng', '1979-05-31', 'Nam', 'Chồng', 'Kỹ sư cơ khí', 'Số 7 Lê Ngọc Hân, quận Hai Bà Trưng, Hà Nội'),
(48, 43, 'Nguyễn Văn Nam', '2010-12-18', 'Nam', 'Con trai', 'Học sinh', 'Số 7 Lê Ngọc Hân, quận Hai Bà Trưng, Hà Nội'),
(49, 44, 'Lê Văn An', '1963-08-29', 'Nam', 'Chồng', 'Bác sĩ', 'Số 9 Nguyễn Hữu Huân, quận Hai Bà Trưng, Hà Nội'),
(50, 44, 'Nguyễn Thị Bình', '1967-01-02', 'Nữ', 'Vợ', 'Nội trợ', 'Số 9 Nguyễn Hữu Huân, quận Hai Bà Trưng, Hà Nội'),
(51, 44, 'Lê Minh Tuấn', '1995-10-11', 'Nam', 'Con trai', 'Kỹ sư xây dựng', 'Số 9 Nguyễn Hữu Huân, quận Hai Bà Trưng, Hà Nội'),
(52, 45, 'Phạm Thị Hương', '1972-03-03', 'Nữ', 'Vợ', 'Giáo viên', 'Số 11 Trần Đại Nghĩa, quận Hai Bà Trưng, Hà Nội'),
(53, 45, 'Phạm Văn Thắng', '1970-08-15', 'Nam', 'Chồng', 'Kỹ sư điện tử', 'Số 11 Trần Đại Nghĩa, quận Hai Bà Trưng, Hà Nội'),
(54, 45, 'Phạm Minh Thư', '1998-02-21', 'Nữ', 'Con gái', 'Sinh viên', 'Số 11 Trần Đại Nghĩa, quận Hai Bà Trưng, Hà Nội'),
(55, 46, 'Trần Văn Thành', '1971-11-27', 'Nam', 'Chồng', 'Bác sĩ', 'Số 13 Thanh Nhàn, quận Hai Bà Trưng, Hà Nội'),
(56, 46, 'Lê Thị Hằng', '1976-06-14', 'Nữ', 'Vợ', 'Nông dân', 'Số 13 Thanh Nhàn, quận Hai Bà Trưng, Hà Nội'),
(57, 46, 'Trần Văn Tuấn', '2004-03-02', 'Nam', 'Con trai', 'Học sinh', 'Số 13 Thanh Nhàn, quận Hai Bà Trưng, Hà Nội'),
(58, 47, 'Nguyễn Thị Hường', '1968-07-07', 'Nữ', 'Vợ', 'Nhân viên văn phòng', 'Số 15 Trương Định, quận Hai Bà Trưng, Hà Nội'),
